IslandName,OuterIsland_LOS
29. SANTO,17
29. SANTO,5
29. SANTO,2
29. SANTO,5
29. SANTO,0
29. SANTO,5
29. SANTO,18
29. SANTO,3
29. SANTO,3
29. SANTO,1
29. SANTO,1
29. SANTO,6
29. SANTO,1
29. SANTO,0
29. SANTO,10
29. SANTO,2
29. SANTO,3
29. SANTO,10
29. SANTO,10
29. SANTO,10
29. SANTO,20
29. SANTO,5
29. SANTO,4
29. SANTO,6
29. SANTO,5
29. SANTO,3
29. SANTO,2
29. SANTO,4
29. SANTO,5
29. SANTO,4
29. SANTO,4
29. SANTO,4
31. TUTUBA,2
31. TUTUBA,1
31. TUTUBA,2
34. AMBAE,0
34. AMBAE,7
34. AMBAE,30
35. MAEWO,6
35. MAEWO,20
36. PENTECOST,14
36. PENTECOST,1
36. PENTECOST,2
36. PENTECOST,3
36. PENTECOST,7
36. PENTECOST,1
36. PENTECOST,28
36. PENTECOST,4
36. PENTECOST,0
36. PENTECOST,4
36. PENTECOST,0
36. PENTECOST,12
36. PENTECOST,1
36. PENTECOST,7
36. PENTECOST,0
36. PENTECOST,0
36. PENTECOST,28
36. PENTECOST,1
37. AKHAMB,4
38. AMBRYM,9
38. AMBRYM,3
38. AMBRYM,4
38. AMBRYM,4
38. AMBRYM,4
38. AMBRYM,7
38. AMBRYM,3
38. AMBRYM,5
38. AMBRYM,5
38. AMBRYM,8
38. AMBRYM,3
38. AMBRYM,0
38. AMBRYM,3
38. AMBRYM,4
38. AMBRYM,7
38. AMBRYM,5
38. AMBRYM,5
38. AMBRYM,1
38. AMBRYM,1
38. AMBRYM,3
38. AMBRYM,2
38. AMBRYM,5
38. AMBRYM,3
38. AMBRYM,5
38. AMBRYM,0
38. AMBRYM,3
40. ATCHIN,7
40. ATCHIN,90
40. ATCHIN,14
40. ATCHIN,7
40. ATCHIN,7
40. ATCHIN,7
40. ATCHIN,2
40. ATCHIN,2
40. ATCHIN,7
40. ATCHIN,7
45. MALEKULA,6
45. MALEKULA,3
45. MALEKULA,365
45. MALEKULA,3
45. MALEKULA,1
45. MALEKULA,5
45. MALEKULA,4
45. MALEKULA,3
45. MALEKULA,0
45. MALEKULA,1
45. MALEKULA,3
45. MALEKULA,3
45. MALEKULA,0
45. MALEKULA,0
45. MALEKULA,12
45. MALEKULA,5
45. MALEKULA,4
45. MALEKULA,3
45. MALEKULA,3
45. MALEKULA,0
45. MALEKULA,1
45. MALEKULA,2
45. MALEKULA,8
45. MALEKULA,10
45. MALEKULA,3
45. MALEKULA,15
45. MALEKULA,4
45. MALEKULA,3
45. MALEKULA,14
45. MALEKULA,14
45. MALEKULA,90
45. MALEKULA,3
45. MALEKULA,3
45. MALEKULA,2
45. MALEKULA,0
45. MALEKULA,1
45. MALEKULA,3
45. MALEKULA,7
45. MALEKULA,0
45. MALEKULA,8
45. MALEKULA,2
45. MALEKULA,3
45. MALEKULA,4
45. MALEKULA,365
45. MALEKULA,3
45. MALEKULA,7
45. MALEKULA,14
45. MALEKULA,90
45. MALEKULA,4
45. MALEKULA,3
45. MALEKULA,0
45. MALEKULA,3
45. MALEKULA,0
45. MALEKULA,6
45. MALEKULA,5
45. MALEKULA,3
45. MALEKULA,3
45. MALEKULA,0
45. MALEKULA,0
45. MALEKULA,7
45. MALEKULA,14
45. MALEKULA,14
45. MALEKULA,3
46. MASKELYNES,15
48. NORSUP,5
54. URI,2
54. URI,2
55. URIPIV,0
55. URIPIV,0
56. VAO,3
56. VAO,10
59. EFATE,7
60. EMAE,24
60. EMAE,6
62. EPI,4
62. EPI,2
62. EPI,2
62. EPI,2
62. EPI,7
62. EPI,2
62. EPI,2
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,2
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,12
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,2
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
71. MOSO,5
71. MOSO,2
71. MOSO,0
71. MOSO,4
71. MOSO,4
71. MOSO,8
71. MOSO,8
71. MOSO,7
71. MOSO,6
71. MOSO,7
71. MOSO,4
71. MOSO,3
71. MOSO,8
71. MOSO,8
71. MOSO,8
71. MOSO,8
71. MOSO,0
71. MOSO,0
71. MOSO,0
71. MOSO,7
71. MOSO,7
71. MOSO,5
71. MOSO,4
71. MOSO,9
71. MOSO,10
71. MOSO,9
71. MOSO,5
71. MOSO,0
71. MOSO,0
71. MOSO,0
71. MOSO,7
71. MOSO,0
71. MOSO,2
71. MOSO,0
71. MOSO,10
71. MOSO,9
71. MOSO,7
71. MOSO,4
71. MOSO,5
71. MOSO,0
71. MOSO,0
71. MOSO,7
71. MOSO,0
71. MOSO,10
71. MOSO,8
